timestamp,event
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:18,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:19,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:20,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:21,YAWNING
2026-05-31 12:13:22,YAWNING
2026-05-31 12:13:22,YAWNING
2026-05-31 12:13:22,YAWNING
2026-05-31 12:13:22,YAWNING
2026-05-31 12:13:22,YAWNING
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:22,PHONE_USAGE
2026-05-31 12:13:23,PHONE_USAGE
2026-05-31 12:13:23,PHONE_USAGE
2026-05-31 12:13:23,PHONE_USAGE
2026-05-31 12:13:23,PHONE_USAGE
2026-05-31 12:13:23,PHONE_USAGE
2026-05-31 12:13:23,PHONE_USAGE
